stkcd,accper,typrep,a001000000,a002000000,a003000000,b001101000,b001201000,c001000000
600519,2017/12/31,A,1.3461E+11,38590489400,96019627475,58217861314,5940436372,22153036084
600519,2018/1/1,A,1.3461E+11,38590489400,96019627475,58217861314,5940436372,22153036084
600519,2018/3/31,A,1.34405E+11,29255260793,1.0515E+11,17466166385,1518592898,4935500707
600519,2018/6/30,A,1.29915E+11,33410357928,96504474571,33396709893,3025025121,17735030962
600519,2018/9/30,A,1.47148E+11,40990610327,1.06157E+11,52241669986,4637055449,28221285916
600519,2018/12/31,A,1.59847E+11,42438186813,1.17408E+11,73638872388,6522921834,41385234407
600519,2019/1/1,A,1.59847E+11,42438186813,1.17408E+11,73638872388,6522921834,41385234407
600519,2019/3/31,A,1.59888E+11,30566115049,1.29322E+11,21644002713,1707440713,1189210085
600519,2019/6/30,A,1.65122E+11,45514872823,1.19607E+11,39487788340,3211620131,24086920146
600519,2019/9/30,A,1.6255E+11,31728364035,1.30822E+11,60934658071,5185881319,27315401962
600519,2019/12/31,A,1.83042E+11,41165991814,1.41876E+11,85429573467,7430013945,45210612633
600519,2020/1/1,A,1.83042E+11,41165991814,1.41876E+11,85429573467,7430013945,45210612633
600519,2020/3/31,A,1.81625E+11,25889910826,1.55735E+11,24405394535,2032443453,2303109388
600519,2020/6/30,A,1.72198E+11,29679987489,1.42518E+11,43952804664,3752326518,12620963440
600519,2001/1/1,A,1268856245,825076621.9,443779623,1114000813,196863444,
600519,2001/6/30,A,1214455218,642491805.8,561545403.2,873863478.9,,-86280877.69
600519,2001/12/31,A,3463388735,925757031.2,2537631704,1618046660,287538468.1,42283037.35
600519,2002/1/1,A,3463388735,925757031.2,2537631704,1618046660,287538468.1,
600519,2002/3/31,A,3449520610,698058233.1,2751462377,718014858.5,115551850,
600519,2002/6/30,A,3421206729,637153988.2,2784052741,955654212.6,158368542.3,-180120845.1
600519,2002/9/30,A,3696428353,838624003,2857804350,1363886224,230795750.6,
600519,2002/12/31,A,3930905067,1055556072,2875348995,1834898295,340556444.8,434582378.7
600519,2003/1/1,A,3930905067,1056171094,2874733973,1834898295,340556444.8,
600519,2003/3/31,A,3903743856,803271180,3100472676,733889255.9,136080903.2,9112186.67
600519,2003/6/30,A,3940510268,815737095.2,3124773173,1009047565,196938828.8,-33965937.28
600519,2003/9/30,A,4466694792,1235178166,3231516625,1552744360,302733307.7,439378658.5
600519,2003/12/31,A,4956365811,1485841720,3470524091,2401017935,477388129.9,941706242.1
600519,2004/1/1,A,4956365811,1485841720,3470524091,2401017935,477388129.9,
600519,2004/3/31,A,4855158666,1127364171,3727794494,853431905.9,151243768.3,-181383371.9
600519,2004/6/30,A,5041106276,1223960981,3817145296,1314109209,229941422.7,-37984534.13
600519,2004/9/30,A,5628688981,1728214614,3900474366,2070438173,367934435.6,372675167.5
600519,2004/12/31,A,6373652984,2156945237,4216707747,3009793520,535056249,975784480.2
600519,2005/1/1,A,6373652984,2156945237,4216707747,3009793520,535056249,
600519,2005/3/31,A,6571862002,1971212838,4600649164,1144017321,196715027.5,242281053.1
600519,2005/6/30,A,6728916037,2037078707,4691837331,1686144342,294128874.1,436604511.3
600519,2005/9/30,A,7077360202,2311856855,4765503347,2580318873,450496529.9,883720092.3
600519,2005/12/31,A,8057596465,2895201383,5162395082,3930515238,687106816.7,1693707488
600519,2006/1/1,A,8057596465,2895201383,5162395082,3930515238,687106816.7,
600519,2006/3/31,A,8103036754,2514741183,5588295572,1354498050,227552584.9,222204247.8
600519,2006/6/30,A,7799862600,2741388244,5058474356,2029461984,342467207.1,594871612.9
600519,2006/9/30,A,8806428607,3391384178,5415044428,3249453247,536197408.3,1490129274
600519,2006/12/31,A,9388915004,3393886355,5995028649,4896186901,791179840.5,2105171034
600519,2007/1/1,A,9570793579,3402941549,6167852030,4903375765,786540172.9,2112936898
600519,2007/3/31,A,9883304613,3994927820,5888376794,1587538096,237704974.1,380543066.1
600519,2007/6/30,A,10226931690,4007519794,6219411895,2629088876,389216762.3,685813057.6
600519,2007/9/30,A,10194195530,3241296206,6952899324,4458382249,662636478.9,1548259235
600519,2007/12/31,A,10481471840,2112616070,8368855770,7237430747,871643568.3,1743303211
600519,2008/1/1,A,10481471840,2112616070,8368855770,7237430747,871643568.3,1743303211
600519,2008/3/31,A,11556876926,2270935661,9285941265,1993496395,200810712.1,992687156
600519,2008/6/30,A,11276097083,1421462106,9854634976,4619717310,442054720.2,1495681407
600519,2008/9/30,A,12989449921,2182445188,10807004734,6486517281,614940094.4,3068605688
600519,2008/12/31,A,15754187836,4250769540,11503418296,8241685564,799713319.2,5247488536
600519,2009/1/1,A,15754187836,4250769540,11503418296,8241685564,799713319.2,5247488536
600519,2009/3/31,A,15625503484,3017496005,12608007479,2512537167,251448334.9,-130764695.3
600519,2009/6/30,A,15973750015,2806773646,13166976369,5546006031,531620176.3,548187840.4
600519,2009/9/30,A,16737940329,2522260598,14215679731,7807202386,743207551.3,2077542093
600519,2009/12/31,A,19769623148,5118057754,14651565394,9669999065,950672855.3,4223937144
600519,2010/1/1,A,19769623148,5118057754,14651565394,9669999065,950672855.3,4223937144
600519,2010/3/31,A,20430099478,4434151286,15995948192,3039906100,295386812.5,824771903.7
600519,2010/6/30,A,21333828716,4596615419,16737213296,6587266363,569190230.5,1766383111
600519,2010/9/30,A,22810028764,5088258570,17721770193,9327577784,821295137.5,3964406934
600519,2010/12/31,A,25587579941,7038190246,18549389695,11633283740,1052931592,6201476520
600519,2011/1/1,A,25587579941,7038190246,18549389695,11633283740,1052931592,6201476520
600519,2011/3/31,A,29161700184,8621019159,20540681024,4220589098,392063101,3411131920
600519,2011/6/30,A,30920149101,9375193214,21544955887,9825823427,845072449.2,5327897835
600519,2011/9/30,A,32894258255,9810488139,23083770116,13642075480,1155847116,9026937978
600519,2011/12/31,A,34900868975,9497489364,25403379611,18402355207,1551233976,10148564690
600519,2012/1/1,A,34900868975,9497489364,25403379611,18402355207,1551233976,10148564690
600519,2012/3/31,A,36407584736,7876964334,28530620402,6015967742,482055429.2,1339501000
600519,2012/6/30,A,39711451965,11306676732,28404775234,13264437836,1059645344,4459709495
600519,2020/9/30,A,1.84579E+11,30407538525,1.54172E+11,67214944638,5830896325,25111002820
600519,2012/9/30,A,38834876463,6843310994,31991565469,19931438600,1628876042,7561565325
600519,2012/12/31,A,44998208953,9544172556,35454036397,26455335153,2044306469,11921310609
600519,2013/1/1,A,44998208953,9544172556,35454036397,26455335153,2044306469,11921310609
600519,2013/3/31,A,45902219986,7306586931,38595633055,7165785852,481121235.6,790228914.3
600519,2013/6/30,A,43620710382,7841603198,35779107184,14127867191,932566677,5215024507
600519,2013/9/30,A,49274437881,9454070179,39820367702,21935713045,1440864964,9245117959
600519,2013/12/31,A,55454150677,11325058404,44129092273,30921801317,2193920308,12655024862
600519,2014/1/1,A,55454150677,11325058404,44129092273,30921801317,2193920308,12655024862
600519,2014/3/31,A,56029625704,8576054059,47453571645,7449825751,506935182.4,173915705.7
600519,2014/6/30,A,55218131506,8593954624,46624176881,14321628403,987543281.4,4288743349
600519,2014/9/30,A,58651555117,8310226545,50341328572,21718189168,1593307326,7679397244
600519,2014/12/31,A,65873165225,10561614384,55311550841,31573928531,2338550532,12632522437
600519,2015/1/1,A,65873165225,10561614384,55311550841,31573928531,2338550532,12632522437
600519,2015/3/31,A,68769020638,8838872511,59930148127,8544273436,579796944.5,2111633649
600519,2015/6/30,A,72337744205,8675962015,63661782190,15778647466,1165878006,4901688343
